query,name,category,sub_category,sub_genre,productDescription,all_text,scores_model_mxbai-rerank-xsmall-v1,scores_model_mxbai-rerank-large-v1,scores_model_mxbai-rerank-base-v1,scores_model_MiniLM,scores_model_jina-reranker-v1-turbo-en,scores_model_jina-reranker-v1-tiny-en,scores_model_bge-reranker-base,scores_flashrerank_zephyr7b,Score_Type
french door fridge,620 L BESPOKE 4-Door Flex French Door Refrigerator RF63A91C377,Home Appliances,Refrigerators,French Door,"Buy 620L 4 door French Door Family Hub Fridge with Triple cooling, Smart view, and more. Shop refrigerator at Samsung India.","620 L BESPOKE 4-Door Flex French Door Refrigerator RF63A91C377 Home Appliances Refrigerators French Door Buy 620L 4 door French Door Family Hub Fridge with Triple cooling, Smart view, and more. Shop refrigerator at Samsung India.",0.92696756,0.97577715,0.9630701,7.8239946,0.81038135,0.93959075,0.9981686,0.0786026200873362,Top 10 Highest
french door fridge,810 L BESPOKE 4-Door Flex Family Hub™ French Door Refrigerator RF87A9770SG,Home Appliances,Refrigerators,French Door,"Buy 810L 4 door French Door Family Hub Fridge with Triple cooling, Smart view, AI control. Shop refrigerator at Samsung India.","810 L BESPOKE 4-Door Flex Family Hub™ French Door Refrigerator RF87A9770SG Home Appliances Refrigerators French Door Buy 810L 4 door French Door Family Hub Fridge with Triple cooling, Smart view, AI control. Shop refrigerator at Samsung India.",0.9187471,0.979536,0.9600389,7.8594284,0.7710017,0.92247707,0.99855894,0.074074074074074,Top 10 Highest
solo microwave ovens,"23L Ceramic Enamel Cavity, Solo Microwave Oven, MS23K3513AK",Home Appliances,Microwave Ovens,Solo,Buy 23L Solo Microwave Oven MS23K3513AK with Eco Mode & Quick Defrost In Black & purchase. Shop Solo Microwave Oven at Samsung India.,"23L Ceramic Enamel Cavity, Solo Microwave Oven, MS23K3513AK Home Appliances Microwave Ovens Solo Buy 23L Solo Microwave Oven MS23K3513AK with Eco Mode & Quick Defrost In Black & purchase. Shop Solo Microwave Oven at Samsung India.",0.9539075,0.9795091,0.9595732,8.517555,0.791543,0.94710207,0.9989753,0.0869565217391304,Top 10 Highest
french door fridge,868 L BESPOKE 4-Door Flex Family Hub™ French Door Refrigerator RF90A955387,Home Appliances,Refrigerators,French Door,"Buy 868L 4 door French Door Family Hub Fridge with Triple cooling, Smart view, AI control. Shop refrigerator at Samsung India","868 L BESPOKE 4-Door Flex Family Hub™ French Door Refrigerator RF90A955387 Home Appliances Refrigerators French Door Buy 868L 4 door French Door Family Hub Fridge with Triple cooling, Smart view, AI control. Shop refrigerator at Samsung India",0.8955543,0.97943443,0.95764375,7.9267774,0.7607837,0.9189116,0.99787974,0.0743801652892562,Top 10 Highest
french door fridge,650 L 4 Door Convertible French Door Refrigerator RF65DG90BDSG,Home Appliances,Refrigerators,French Door,"Buy 650L 4 door Convertible French Door Refrigerator with triple cooling, Flex Zone with 5 Convertible Modes. To know more visit Samsung India","650 L 4 Door Convertible French Door Refrigerator RF65DG90BDSG Home Appliances Refrigerators French Door Buy 650L 4 door Convertible French Door Refrigerator with triple cooling, Flex Zone with 5 Convertible Modes. To know more visit Samsung India",0.81981933,0.95881736,0.95313436,7.3677397,0.7580649,0.9221652,0.99731845,0.0728744939271255,Top 10 Highest
chargers,Multiport Adapter,PC,PC Accessories,Adapter,"P5400U-MPA (EE-P5400USEGIN) - Explore the benefits, features & offers of this product. Know more and buy best PC Accessories for you at Samsung India.","Multiport Adapter PC PC Accessories Adapter P5400U-MPA (EE-P5400USEGIN) - Explore the benefits, features & offers of this product. Know more and buy best PC Accessories for you at Samsung India.",0.26363888,0.029667743,0.012436369,-10.842131,0.066645704,0.2781024,0.0005104547,0.0412371134020618,Top 10 Lowest
solo microwave ovens,"23L Quick Defrost, Grill Microwave Oven, MG23K3515AK",Home Appliances,Microwave Ovens,Grill,"Buy 23L Grill Microwave with Quick Defrost MG23K3515AK with Quick Defrost, Browning Plus & more including prices, offers, specifications.","23L Quick Defrost, Grill Microwave Oven, MG23K3515AK Home Appliances Microwave Ovens Grill Buy 23L Grill Microwave with Quick Defrost MG23K3515AK with Quick Defrost, Browning Plus & more including prices, offers, specifications.",0.14824365,0.06806601,0.016152881,-3.2827709,0.16277988,0.5163409,0.062481616,0.087719298245614,Top 10 Lowest
solo microwave ovens,"23L Grill Fry, Grill Microwave Oven, MG23T5012CK",Home Appliances,Microwave Ovens,Grill,"Buy Grill MWO with Grill Fry (Crusty Plate) (MG23T5012CK/TL). Explore features, price & offers. Shop Microwave Ovens at Samsung India.","23L Grill Fry, Grill Microwave Oven, MG23T5012CK Home Appliances Microwave Ovens Grill Buy Grill MWO with Grill Fry (Crusty Plate) (MG23T5012CK/TL). Explore features, price & offers. Shop Microwave Ovens at Samsung India.",0.14285049,0.1609054,0.016396664,-2.7541254,0.16794108,0.4700883,0.070734054,0.090497737556561,Top 10 Lowest
3 door fridge with water dispenser,183 L Stylish Grandé Design Single Door Refrigerator RR20D1723RZ,Home Appliances,Refrigerators,One Door,"Buy 183L Stylish Grandé Design Single Door Refrigerator. Avail exchange benefits, no cost emi, instant bank discount. To know more visit here.","183 L Stylish Grandé Design Single Door Refrigerator RR20D1723RZ Home Appliances Refrigerators One Door Buy 183L Stylish Grandé Design Single Door Refrigerator. Avail exchange benefits, no cost emi, instant bank discount. To know more visit here.",0.036765356,0.004256153,0.020076469,-4.2301264,0.09818449,0.43847215,0.0030497075,0.1382113821138211,Top 10 Lowest
3 door fridge with water dispenser,223 L Stylish Grandé Design Single Door Refrigerator RR24D2Z23CU,Home Appliances,Refrigerators,One Door,"Buy 223L Horizontal Curve Design Single Door Refrigerator online blue. Avail exchange benefits, No Cost EMI, 10%Instant Bank Discount. To Know more visit here.","223 L Stylish Grandé Design Single Door Refrigerator RR24D2Z23CU Home Appliances Refrigerators One Door Buy 223L Horizontal Curve Design Single Door Refrigerator online blue. Avail exchange benefits, No Cost EMI, 10%Instant Bank Discount. To Know more visit here.",0.046222858,0.0049045375,0.02085961,-4.2300425,0.09442,0.37556005,0.0022207268,0.1292775665399239,Top 10 Lowest
solo microwave ovens,"23 L Grill Fry, Grill Microwave Oven, MG23A3515AK",Home Appliances,Microwave Ovens,Grill,"Buy 23L Grill Microwave Oven (MG23A3515AK/TL) with Grill Heater, quick defrost, Eco mode. Shop Microwave Oven at Samsung India.","23 L Grill Fry, Grill Microwave Oven, MG23A3515AK Home Appliances Microwave Ovens Grill Buy 23L Grill Microwave Oven (MG23A3515AK/TL) with Grill Heater, quick defrost, Eco mode. Shop Microwave Oven at Samsung India.",0.16855055,0.11237757,0.021257645,-2.5211697,0.16657369,0.4977124,0.06636088,0.0930232558139534,Top 10 Lowest
3 door fridge with water dispenser,183 L Stylish Grandé Design Single Door Refrigerator RR20D1823RZ,Home Appliances,Refrigerators,One Door,"Buy 183L Stylish Grandé Design Single Door Refrigerator. Avail exchange benefits, no cost emi, instant bank discount. To know more visit Samsung India.","183 L Stylish Grandé Design Single Door Refrigerator RR20D1823RZ Home Appliances Refrigerators One Door Buy 183L Stylish Grandé Design Single Door Refrigerator. Avail exchange benefits, no cost emi, instant bank discount. To know more visit Samsung India.",0.031951062,0.004759889,0.021994205,-4.5158825,0.09602826,0.42107055,0.003308928,0.1333333333333333,Top 10 Lowest
solo microwave ovens,"28 L SlimFry™, Convection Microwave Oven, MC28H5025QB",Home Appliances,Microwave Ovens,Convection,"Buy 28L Convection Microwave Oven MC28H5025QB. Explore 28L Convection Microwave Oven including prices, offers, specifications & shop at Samsung India.","28 L SlimFry™, Convection Microwave Oven, MC28H5025QB Home Appliances Microwave Ovens Convection Buy 28L Convection Microwave Oven MC28H5025QB. Explore 28L Convection Microwave Oven including prices, offers, specifications & shop at Samsung India.",0.1083143,0.20288095,0.022609375,-2.63868,0.20096163,0.60066247,0.09568181,0.0809716599190283,Top 10 Lowest
3 door fridge with water dispenser,256 L Convertible Freezer Double Door Refrigerator RT30C3733BX,Home Appliances,Refrigerators,Double Door,"RT30C3733 Top Mount Freezer with Convertible Freezer (RT30C3733BX/HL) - Explore the benefits, features & offers of this product. Know more and buy best Refrigerators for you at Samsung India.","256 L Convertible Freezer Double Door Refrigerator RT30C3733BX Home Appliances Refrigerators Double Door RT30C3733 Top Mount Freezer with Convertible Freezer (RT30C3733BX/HL) - Explore the benefits, features & offers of this product. Know more and buy best Refrigerators for you at Samsung India.",0.02469815,0.011087238,0.024432573,-3.2517648,0.11156929,0.34849563,0.0037000405,0.1148648648648648,Top 10 Lowest
3 door fridge with water dispenser,215 L Horizontal Curve Design Single Door Refrigerator RR23D2H23BX,Home Appliances,Refrigerators,One Door,"Buy 215L Digi Touch Cool Single Door Refrigerator online black with Crown Door Design, Toughened Glass, LED Lamp. Know more features, price & specs visit here.","215 L Horizontal Curve Design Single Door Refrigerator RR23D2H23BX Home Appliances Refrigerators One Door Buy 215L Digi Touch Cool Single Door Refrigerator online black with Crown Door Design, Toughened Glass, LED Lamp. Know more features, price & specs visit here.",0.05143397,0.008085622,0.025403198,-3.361239,0.10163498,0.36759707,0.0009929895,0.1283018867924528,Top 10 Lowest
solo microwave ovens,"23L Ceramic Enamel Cavity, Solo Microwave Oven, MS23K3513AK",Home Appliances,Microwave Ovens,Solo,Buy 23L Solo Microwave Oven MS23K3513AK with Eco Mode & Quick Defrost In Black & purchase. Shop Solo Microwave Oven at Samsung India.,"23L Ceramic Enamel Cavity, Solo Microwave Oven, MS23K3513AK Home Appliances Microwave Ovens Solo Buy 23L Solo Microwave Oven MS23K3513AK with Eco Mode & Quick Defrost In Black & purchase. Shop Solo Microwave Oven at Samsung India.",0.9539075,0.9795091,0.9595732,8.517555,0.791543,0.94710207,0.9989753,0.0869565217391304,Top 10 Highest
solo microwave ovens,"20L Full Glass Door, Solo Microwave Oven, MS20A3010AL",Home Appliances,Microwave Ovens,Solo,"Buy 20L Microwave oven (MS20A3010AL/TL) with Full Glass Door, Dual dial, LED Lighting. Shop Microwave Ovens at Samsung India.","20L Full Glass Door, Solo Microwave Oven, MS20A3010AL Home Appliances Microwave Ovens Solo Buy 20L Microwave oven (MS20A3010AL/TL) with Full Glass Door, Dual dial, LED Lighting. Shop Microwave Ovens at Samsung India.",0.9216567,0.96256495,0.9219758,8.443484,0.7801122,0.95147794,0.9991725,0.0925925925925925,Top 10 Highest
solo microwave ovens,"23 L Quick Defrost, Solo Microwave Oven, MS23A3513AK",Home Appliances,Microwave Ovens,Solo,"Buy 23L Solo Microwave Oven (MS23A3513AK/TL) with Quick Defrost, Eco Mode, Ceramic Inside. Shop microwave oven at Samsung India.","23 L Quick Defrost, Solo Microwave Oven, MS23A3513AK Home Appliances Microwave Ovens Solo Buy 23L Solo Microwave Oven (MS23A3513AK/TL) with Quick Defrost, Eco Mode, Ceramic Inside. Shop microwave oven at Samsung India.",0.9609602,0.9821217,0.9430137,8.3209305,0.80086887,0.94895774,0.999337,0.091743119266055,Top 10 Highest
solo microwave ovens,"23L Dual Dial, Solo Microwave Oven, MS23F300EEK",Home Appliances,Microwave Ovens,Solo,"Buy 23L Solo Microwave Oven MS23F300EEK. Explore 23L Solo Microwave Oven including prices, offers, specifications & shop at Samsung India.","23L Dual Dial, Solo Microwave Oven, MS23F300EEK Home Appliances Microwave Ovens Solo Buy 23L Solo Microwave Oven MS23F300EEK. Explore 23L Solo Microwave Oven including prices, offers, specifications & shop at Samsung India.",0.9428467,0.95946807,0.9478879,8.253795,0.77033454,0.9470952,0.9985581,0.0896860986547085,Top 10 Highest
french door fridge,580 L Wi-Fi & Twin Cooling Plus™ French Door Refrigerator RF57B5132DX,Home Appliances,Refrigerators,French Door,"Buy 580L French Door Fridge (RF57B5132DX) with wifi embedded, convertible freezer, twin cooling. Shop Refrigerators at Samsung India.","580 L Wi-Fi & Twin Cooling Plus™ French Door Refrigerator RF57B5132DX Home Appliances Refrigerators French Door Buy 580L French Door Fridge (RF57B5132DX) with wifi embedded, convertible freezer, twin cooling. Shop Refrigerators at Samsung India.",0.9612679,0.97485006,0.9758877,8.019138,0.7825508,0.9366773,0.99894315,0.073469387755102,Top 10 Highest
french door fridge,702 L Beverage Center French Door Refrigerator RF70A967FB1,Home Appliances,Refrigerators,French Door,"Buy 702L French Door Fridge with features like triple cooling, beverage center. Know more about this product and shop best refrigerators at Samsung India.","702 L Beverage Center French Door Refrigerator RF70A967FB1 Home Appliances Refrigerators French Door Buy 702L French Door Fridge with features like triple cooling, beverage center. Know more about this product and shop best refrigerators at Samsung India.",0.93688494,0.9685264,0.9488725,7.986796,0.7896348,0.9232953,0.99951625,0.0705882352941176,Top 10 Highest
french door fridge,868 L BESPOKE 4-Door Flex Family Hub™ French Door Refrigerator RF90A955387,Home Appliances,Refrigerators,French Door,"Buy 868L 4 door French Door Family Hub Fridge with Triple cooling, Smart view, AI control. Shop refrigerator at Samsung India","868 L BESPOKE 4-Door Flex Family Hub™ French Door Refrigerator RF90A955387 Home Appliances Refrigerators French Door Buy 868L 4 door French Door Family Hub Fridge with Triple cooling, Smart view, AI control. Shop refrigerator at Samsung India",0.8955543,0.97943443,0.95764375,7.9267774,0.7607837,0.9189116,0.99787974,0.0743801652892562,Top 10 Highest
4 door fridge,620 L BESPOKE 4-Door Flex French Door Refrigerator RF63A91C377,Home Appliances,Refrigerators,French Door,"Buy 620L 4 door French Door Family Hub Fridge with Triple cooling, Smart view, and more. Shop refrigerator at Samsung India.","620 L BESPOKE 4-Door Flex French Door Refrigerator RF63A91C377 Home Appliances Refrigerators French Door Buy 620L 4 door French Door Family Hub Fridge with Triple cooling, Smart view, and more. Shop refrigerator at Samsung India.",0.8390739,0.9460007,0.93884957,7.8878727,0.7319533,0.9332122,0.9934669,0.056768558951965,Top 10 Highest
french door fridge,550 L Twin Cooling Plus™ French Door Refrigerator RF57A5032S9,Home Appliances,Refrigerators,French Door,"Buy 550L French Door Fridge with Twin Cooling Plus™ RF57A5032S9 with Convertible freezer, Fingerprint Resistant Finish. Know its price.","550 L Twin Cooling Plus™ French Door Refrigerator RF57A5032S9 Home Appliances Refrigerators French Door Buy 550L French Door Fridge with Twin Cooling Plus™ RF57A5032S9 with Convertible freezer, Fingerprint Resistant Finish. Know its price.",0.9553566,0.97260284,0.9893506,7.872223,0.75218517,0.9392783,0.998735,0.0753138075313807,Top 10 Highest
french door fridge,810 L BESPOKE 4-Door Flex Family Hub™ French Door Refrigerator RF87A9770SG,Home Appliances,Refrigerators,French Door,"Buy 810L 4 door French Door Family Hub Fridge with Triple cooling, Smart view, AI control. Shop refrigerator at Samsung India.","810 L BESPOKE 4-Door Flex Family Hub™ French Door Refrigerator RF87A9770SG Home Appliances Refrigerators French Door Buy 810L 4 door French Door Family Hub Fridge with Triple cooling, Smart view, AI control. Shop refrigerator at Samsung India.",0.9187471,0.979536,0.9600389,7.8594284,0.7710017,0.92247707,0.99855894,0.074074074074074,Top 10 Highest
chargers,Galaxy S24 Smart View Wallet Case,Mobile,Mobile Accessories,Cases,"Galaxy S24 Smart View Wallet Case Violet Interactive small-screen view cover, Seamless control at a tap, Handy hidden pocket.","Galaxy S24 Smart View Wallet Case Mobile Mobile Accessories Cases Galaxy S24 Smart View Wallet Case Violet Interactive small-screen view cover, Seamless control at a tap, Handy hidden pocket.",0.1344983,0.018984593,0.037118383,-11.115133,0.030870797,0.2302748,5.084617e-05,0.0418848167539267,Top 10 Lowest
chargers,SmartThings Dongle VG-STDB10A,TV,TV-Accessories,Dongle,SmartThings Dongle (VG-STDB10A/XL) - Explore the features & offers of this product. Know more and buy best TV-Accessories for you at Samsung India.,SmartThings Dongle VG-STDB10A TV TV-Accessories Dongle SmartThings Dongle (VG-STDB10A/XL) - Explore the features & offers of this product. Know more and buy best TV-Accessories for you at Samsung India.,0.30561987,0.017359853,0.039809093,-11.084015,0.03095094,0.22125737,0.0001213743,0.0396039603960396,Top 10 Lowest
chargers,SolarCell Remote,TV,TV-Accessories,Remote,"Buy SolarCell TV Remote, comes with a sleek and simple design. It is rechargeable through Solar Cell, USB Type-C Cable. Shop for TV accessories at Samsung India.","SolarCell Remote TV TV-Accessories Remote Buy SolarCell TV Remote, comes with a sleek and simple design. It is rechargeable through Solar Cell, USB Type-C Cable. Shop for TV accessories at Samsung India.",0.36352643,0.09027659,0.11361183,-11.079544,0.03766871,0.22931722,0.0041304813,0.0394088669950738,Top 10 Lowest
straps,Galaxy S24 Smart View Wallet Case,Mobile,Mobile Accessories,Cases,"Galaxy S24 Smart View Wallet Case Violet Interactive small-screen view cover, Seamless control at a tap, Handy hidden pocket.","Galaxy S24 Smart View Wallet Case Mobile Mobile Accessories Cases Galaxy S24 Smart View Wallet Case Violet Interactive small-screen view cover, Seamless control at a tap, Handy hidden pocket.",0.15408817,0.014184296,0.034851033,-10.943682,0.026506212,0.21205056,4.985312e-05,0.031413612565445,Top 10 Lowest
straps,Galaxy S24 Smart View Wallet Case,Mobile,Mobile Accessories,Cases,"Galaxy S24 Smart View Wallet Case Violet Interactive small-screen view cover, Seamless control at a tap, Handy hidden pocket.","Galaxy S24 Smart View Wallet Case Mobile Mobile Accessories Cases Galaxy S24 Smart View Wallet Case Violet Interactive small-screen view cover, Seamless control at a tap, Handy hidden pocket.",0.15408815,0.01418429,0.034851033,-10.943682,0.026506212,0.21205057,4.9853163e-05,0.031413612565445,Top 10 Lowest
chargers,Multiport Adapter,PC,PC Accessories,Adapter,"P5400U-MPA (EE-P5400USEGIN) - Explore the benefits, features & offers of this product. Know more and buy best PC Accessories for you at Samsung India.","Multiport Adapter PC PC Accessories Adapter P5400U-MPA (EE-P5400USEGIN) - Explore the benefits, features & offers of this product. Know more and buy best PC Accessories for you at Samsung India.",0.26363888,0.029667743,0.012436369,-10.842131,0.066645704,0.2781024,0.0005104547,0.0412371134020618,Top 10 Lowest
chargers,Cable (Type-C),Mobile,Mobile Accessories,Adaptors and Cables,"Buy Samsung Cable (Type-C) (Black) EP-DG930IBEGIN online. Learn all about Cable (Type-C) including prices, offers, specifications & shop from Samsung India.","Cable (Type-C) Mobile Mobile Accessories Adaptors and Cables Buy Samsung Cable (Type-C) (Black) EP-DG930IBEGIN online. Learn all about Cable (Type-C) including prices, offers, specifications & shop from Samsung India.",0.23874584,0.058629528,0.10946041,-10.752518,0.04993843,0.2771349,0.00072135444,0.0368663594470046,Top 10 Lowest
chargers,45W Travel Adapter,Mobile,Mobile Accessories,Adaptors and Cables,"Buy Samsung Travel Adapter (45W)(Black) EP-TA845XBNGIN online. Discover the prices, offers, specifications before purchasing the travel adapter from Samsung India.","45W Travel Adapter Mobile Mobile Accessories Adaptors and Cables Buy Samsung Travel Adapter (45W)(Black) EP-TA845XBNGIN online. Discover the prices, offers, specifications before purchasing the travel adapter from Samsung India.",0.21993445,0.21778744,0.39605927,-10.714815,0.028448816,0.20640069,0.0022545327,0.0350877192982456,Top 10 Lowest
chargers,25W Travel Adaptor without Cable,Mobile,Mobile Accessories,Adaptors and Cables,"Buy Samsung 25W Travel Adapter comes without cable, powerfully refined, Type C Compatible and more. To know price and specs visit here.","25W Travel Adaptor without Cable Mobile Mobile Accessories Adaptors and Cables Buy Samsung 25W Travel Adapter comes without cable, powerfully refined, Type C Compatible and more. To know price and specs visit here.",0.2531917,0.43901715,0.4690826,-10.710689,0.04476427,0.2450461,0.0009864682,0.0373831775700934,Top 10 Lowest
chargers,C to C Cable,Mobile,Mobile Accessories,Adaptors and Cables,"Buy Samsung Cable (C to C) (White) EP-DA705BWEGIN online. Learn all about C to C Cable including prices, offers, specifications & shop from Samsung India.","C to C Cable Mobile Mobile Accessories Adaptors and Cables Buy Samsung Cable (C to C) (White) EP-DA705BWEGIN online. Learn all about C to C Cable including prices, offers, specifications & shop from Samsung India.",0.20346013,0.052690264,0.13135614,-10.690096,0.041775715,0.25868866,0.0050851535,0.0375586854460093,Top 10 Lowest
french door fridge,620 L BESPOKE 4-Door Flex French Door Refrigerator RF63A91C377,Home Appliances,Refrigerators,French Door,"Buy 620L 4 door French Door Family Hub Fridge with Triple cooling, Smart view, and more. Shop refrigerator at Samsung India.","620 L BESPOKE 4-Door Flex French Door Refrigerator RF63A91C377 Home Appliances Refrigerators French Door Buy 620L 4 door French Door Family Hub Fridge with Triple cooling, Smart view, and more. Shop refrigerator at Samsung India.",0.92696756,0.97577715,0.9630701,7.8239946,0.81038135,0.93959075,0.9981686,0.0786026200873362,Top 10 Highest
french door fridge,870 L BESPOKE 4-Door Flex French Door Refrigerator RF90A92W3AP,Home Appliances,Refrigerators,French Door,"Buy Bespoke French Door Refrigerator in White (RF90A92W3AP/TL). Explore features, price & offers. Shop four door fridge at Samsung India.","870 L BESPOKE 4-Door Flex French Door Refrigerator RF90A92W3AP Home Appliances Refrigerators French Door Buy Bespoke French Door Refrigerator in White (RF90A92W3AP/TL). Explore features, price & offers. Shop four door fridge at Samsung India.",0.905998,0.9706468,0.8762006,7.7129974,0.80978054,0.93077224,0.99908936,0.0743801652892562,Top 10 Highest
solo microwave ovens,"23 L Quick Defrost, Solo Microwave Oven, MS23A3513AK",Home Appliances,Microwave Ovens,Solo,"Buy 23L Solo Microwave Oven (MS23A3513AK/TL) with Quick Defrost, Eco Mode, Ceramic Inside. Shop microwave oven at Samsung India.","23 L Quick Defrost, Solo Microwave Oven, MS23A3513AK Home Appliances Microwave Ovens Solo Buy 23L Solo Microwave Oven (MS23A3513AK/TL) with Quick Defrost, Eco Mode, Ceramic Inside. Shop microwave oven at Samsung India.",0.9609602,0.9821217,0.9430137,8.3209305,0.80086887,0.94895774,0.999337,0.091743119266055,Top 10 Highest
solo microwave ovens,"23L Ceramic Enamel Cavity, Solo Microwave Oven, MS23K3513AK",Home Appliances,Microwave Ovens,Solo,Buy 23L Solo Microwave Oven MS23K3513AK with Eco Mode & Quick Defrost In Black & purchase. Shop Solo Microwave Oven at Samsung India.,"23L Ceramic Enamel Cavity, Solo Microwave Oven, MS23K3513AK Home Appliances Microwave Ovens Solo Buy 23L Solo Microwave Oven MS23K3513AK with Eco Mode & Quick Defrost In Black & purchase. Shop Solo Microwave Oven at Samsung India.",0.9539075,0.9795091,0.9595732,8.517555,0.791543,0.94710207,0.9989753,0.0869565217391304,Top 10 Highest
french door fridge,650 L Dual Flex Zone French Door Refrigerator RF70A90T0SL,Home Appliances,Refrigerators,French Door,"Buy 650L 4 door French Door fridge (RF70A90T0SL) with Triple cooling, Smart view. Check features, specs, prices & offers. Shop Refrigerators at Samsung India.","650 L Dual Flex Zone French Door Refrigerator RF70A90T0SL Home Appliances Refrigerators French Door Buy 650L 4 door French Door fridge (RF70A90T0SL) with Triple cooling, Smart view. Check features, specs, prices & offers. Shop Refrigerators at Samsung India.",0.94597644,0.9744846,0.96774596,7.726576,0.79017156,0.9305814,0.99843615,0.0697674418604651,Top 10 Highest
french door fridge,702 L Beverage Center French Door Refrigerator RF70A967FB1,Home Appliances,Refrigerators,French Door,"Buy 702L French Door Fridge with features like triple cooling, beverage center. Know more about this product and shop best refrigerators at Samsung India.","702 L Beverage Center French Door Refrigerator RF70A967FB1 Home Appliances Refrigerators French Door Buy 702L French Door Fridge with features like triple cooling, beverage center. Know more about this product and shop best refrigerators at Samsung India.",0.93688494,0.9685264,0.9488725,7.986796,0.7896348,0.9232953,0.99951625,0.0705882352941176,Top 10 Highest
solo microwave ovens,"23L Healthy Steam Cook, Solo Microwave Oven, MS23T5012UK",Home Appliances,Microwave Ovens,Solo,"Buy Solo MWO with Healty Steam (MS23T5012UK/TL). Explore features, price & offers. Shop Microwave Ovens at Samsung India.","23L Healthy Steam Cook, Solo Microwave Oven, MS23T5012UK Home Appliances Microwave Ovens Solo Buy Solo MWO with Healty Steam (MS23T5012UK/TL). Explore features, price & offers. Shop Microwave Ovens at Samsung India.",0.9425689,0.8877563,0.88323545,7.8482924,0.78786284,0.9466691,0.99637115,0.0930232558139534,Top 10 Highest
french door fridge,580 L Wi-Fi & Twin Cooling Plus™ French Door Refrigerator RF57B5132DX,Home Appliances,Refrigerators,French Door,"Buy 580L French Door Fridge (RF57B5132DX) with wifi embedded, convertible freezer, twin cooling. Shop Refrigerators at Samsung India.","580 L Wi-Fi & Twin Cooling Plus™ French Door Refrigerator RF57B5132DX Home Appliances Refrigerators French Door Buy 580L French Door Fridge (RF57B5132DX) with wifi embedded, convertible freezer, twin cooling. Shop Refrigerators at Samsung India.",0.9612679,0.97485006,0.9758877,8.019138,0.7825508,0.9366773,0.99894315,0.073469387755102,Top 10 Highest
solo microwave ovens,"20L Full Glass Door, Solo Microwave Oven, MS20A3010AL",Home Appliances,Microwave Ovens,Solo,"Buy 20L Microwave oven (MS20A3010AL/TL) with Full Glass Door, Dual dial, LED Lighting. Shop Microwave Ovens at Samsung India.","20L Full Glass Door, Solo Microwave Oven, MS20A3010AL Home Appliances Microwave Ovens Solo Buy 20L Microwave oven (MS20A3010AL/TL) with Full Glass Door, Dual dial, LED Lighting. Shop Microwave Ovens at Samsung India.",0.9216567,0.96256495,0.9219758,8.443484,0.7801122,0.95147794,0.9991725,0.0925925925925925,Top 10 Highest
french door fridge,810 L BESPOKE 4-Door Flex Family Hub™ French Door Refrigerator RF87A9770SG,Home Appliances,Refrigerators,French Door,"Buy 810L 4 door French Door Family Hub Fridge with Triple cooling, Smart view, AI control. Shop refrigerator at Samsung India.","810 L BESPOKE 4-Door Flex Family Hub™ French Door Refrigerator RF87A9770SG Home Appliances Refrigerators French Door Buy 810L 4 door French Door Family Hub Fridge with Triple cooling, Smart view, AI control. Shop refrigerator at Samsung India.",0.9187471,0.979536,0.9600389,7.8594284,0.7710017,0.92247707,0.99855894,0.074074074074074,Top 10 Highest
straps,Galaxy S24 Smart View Wallet Case,Mobile,Mobile Accessories,Cases,"Galaxy S24 Smart View Wallet Case Violet Interactive small-screen view cover, Seamless control at a tap, Handy hidden pocket.","Galaxy S24 Smart View Wallet Case Mobile Mobile Accessories Cases Galaxy S24 Smart View Wallet Case Violet Interactive small-screen view cover, Seamless control at a tap, Handy hidden pocket.",0.15408817,0.014184296,0.034851033,-10.943682,0.026506212,0.21205056,4.985312e-05,0.031413612565445,Top 10 Lowest
straps,Galaxy S24 Smart View Wallet Case,Mobile,Mobile Accessories,Cases,"Galaxy S24 Smart View Wallet Case Violet Interactive small-screen view cover, Seamless control at a tap, Handy hidden pocket.","Galaxy S24 Smart View Wallet Case Mobile Mobile Accessories Cases Galaxy S24 Smart View Wallet Case Violet Interactive small-screen view cover, Seamless control at a tap, Handy hidden pocket.",0.15408815,0.01418429,0.034851033,-10.943682,0.026506212,0.21205057,4.9853163e-05,0.031413612565445,Top 10 Lowest
chargers,45W Travel Adapter,Mobile,Mobile Accessories,Adaptors and Cables,"Buy Samsung Travel Adapter (45W)(Black) EP-TA845XBNGIN online. Discover the prices, offers, specifications before purchasing the travel adapter from Samsung India.","45W Travel Adapter Mobile Mobile Accessories Adaptors and Cables Buy Samsung Travel Adapter (45W)(Black) EP-TA845XBNGIN online. Discover the prices, offers, specifications before purchasing the travel adapter from Samsung India.",0.21993445,0.21778744,0.39605927,-10.714815,0.028448816,0.20640069,0.0022545327,0.0350877192982456,Top 10 Lowest
chargers,Galaxy S24 Smart View Wallet Case,Mobile,Mobile Accessories,Cases,"Galaxy S24 Smart View Wallet Case Violet Interactive small-screen view cover, Seamless control at a tap, Handy hidden pocket.","Galaxy S24 Smart View Wallet Case Mobile Mobile Accessories Cases Galaxy S24 Smart View Wallet Case Violet Interactive small-screen view cover, Seamless control at a tap, Handy hidden pocket.",0.1344983,0.018984593,0.037118383,-11.115133,0.030870797,0.2302748,5.084617e-05,0.0418848167539267,Top 10 Lowest
